MetricCategory,MetricSubcategory,MetricType,MetricValue,MetricLabel,match_id
TotalPointsWonOrLost_Freq,Lost,Frequency,55.0,TotalPointsWonOrLost_Freq | Lost,M004
TotalPointsWonOrLost_Freq,Won,Frequency,24.0,TotalPointsWonOrLost_Freq | Won,M004
TotalPointsWonOrLost_Freq,Lost_thru_Mistake,Frequency,55.0,TotalPointsWonOrLost_Freq | Lost_thru_Mistake,M004
TotalPointsWonOrLost_Freq,Won_thru_Winner,Frequency,24.0,TotalPointsWonOrLost_Freq | Won_thru_Winner,M004
Effective_Score,Effective_Score_Rally,Frequency,72.0,Effective_Score | Effective_Score_Rally,M004
Effective_Score,Effective_Score_Return,Frequency,33.0,Effective_Score | Effective_Score_Return,M004
Effective_Score,Effective_Score_Serve,Frequency,46.0,Effective_Score | Effective_Score_Serve,M004
Effective_Score_First,Effective_Score_First_Rally,Frequency,63.0,Effective_Score_First | Effective_Score_First_Rally,M004
Effective_Score_First,Effective_Score_First_Return,Frequency,29.0,Effective_Score_First | Effective_Score_First_Return,M004
Effective_Score_First,Effective_Score_First_Serve,Frequency,30.0,Effective_Score_First | Effective_Score_First_Serve,M004
Effective_Score_Second,Effective_Score_Second_Rally,Frequency,9.0,Effective_Score_Second | Effective_Score_Second_Rally,M004
Effective_Score_Second,Effective_Score_Second_Return,Frequency,4.0,Effective_Score_Second | Effective_Score_Second_Return,M004
Effective_Score_Second,Effective_Score_Second_Serve,Frequency,16.0,Effective_Score_Second | Effective_Score_Second_Serve,M004
Effective_Score_Deuce,Effective_Score_Deuce_Rally,Frequency,28.0,Effective_Score_Deuce | Effective_Score_Deuce_Rally,M004
Effective_Score_Deuce,Effective_Score_Deuce_Return,Frequency,18.0,Effective_Score_Deuce | Effective_Score_Deuce_Return,M004
Effective_Score_Deuce,Effective_Score_Deuce_Serve,Frequency,25.0,Effective_Score_Deuce | Effective_Score_Deuce_Serve,M004
Effective_Score_Adv,Effective_Score_Adv_Rally,Frequency,44.0,Effective_Score_Adv | Effective_Score_Adv_Rally,M004
Effective_Score_Adv,Effective_Score_Adv_Return,Frequency,15.0,Effective_Score_Adv | Effective_Score_Adv_Return,M004
Effective_Score_Adv,Effective_Score_Adv_Serve,Frequency,21.0,Effective_Score_Adv | Effective_Score_Adv_Serve,M004
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Rally,Frequency,22.0,Effective_Score_Deuce_First | Effective_Score_Deuce_First_Rally,M004
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Return,Frequency,15.0,Effective_Score_Deuce_First | Effective_Score_Deuce_First_Return,M004
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Serve,Frequency,15.0,Effective_Score_Deuce_First | Effective_Score_Deuce_First_Serve,M004
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Rally,Frequency,6.0,Effective_Score_Deuce_Second | Effective_Score_Deuce_Second_Rally,M004
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Return,Frequency,3.0,Effective_Score_Deuce_Second | Effective_Score_Deuce_Second_Return,M004
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Serve,Frequency,10.0,Effective_Score_Deuce_Second | Effective_Score_Deuce_Second_Serve,M004
Effective_Score_Adv_First,Effective_Score_Adv_First_Rally,Frequency,41.0,Effective_Score_Adv_First | Effective_Score_Adv_First_Rally,M004
Effective_Score_Adv_First,Effective_Score_Adv_First_Return,Frequency,14.0,Effective_Score_Adv_First | Effective_Score_Adv_First_Return,M004
Effective_Score_Adv_First,Effective_Score_Adv_First_Serve,Frequency,15.0,Effective_Score_Adv_First | Effective_Score_Adv_First_Serve,M004
