MetricCategory,MetricSubcategory,MetricType,MetricValue,MetricLabel,match_id
TotalPointsWonOrLost_Freq,Lost,Frequency,55,TotalPointsWonOrLost_Freq | Lost,M004
TotalPointsWonOrLost_Freq,Won,Frequency,24,TotalPointsWonOrLost_Freq | Won,M004
TotalPointsWonOrLost_Freq,Lost_thru_Mistake,Frequency,55,TotalPointsWonOrLost_Freq | Lost_thru_Mistake,M004
TotalPointsWonOrLost_Freq,Won_thru_Winner,Frequency,24,TotalPointsWonOrLost_Freq | Won_thru_Winner,M004
Effective_Score,Effective_Score_Rally,Frequency,72,Effective_Score | Effective_Score_Rally,M004
Effective_Score,Effective_Score_Return,Frequency,33,Effective_Score | Effective_Score_Return,M004
Effective_Score,Effective_Score_Serve,Frequency,46,Effective_Score | Effective_Score_Serve,M004
Effective_Score_First,Effective_Score_First_Rally,Frequency,63,Effective_Score_First | Effective_Score_First_Rally,M004
Effective_Score_First,Effective_Score_First_Return,Frequency,29,Effective_Score_First | Effective_Score_First_Return,M004
Effective_Score_First,Effective_Score_First_Serve,Frequency,30,Effective_Score_First | Effective_Score_First_Serve,M004
Effective_Score_Second,Effective_Score_Second_Rally,Frequency,9,Effective_Score_Second | Effective_Score_Second_Rally,M004
Effective_Score_Second,Effective_Score_Second_Return,Frequency,4,Effective_Score_Second | Effective_Score_Second_Return,M004
Effective_Score_Second,Effective_Score_Second_Serve,Frequency,16,Effective_Score_Second | Effective_Score_Second_Serve,M004
Effective_Score_Deuce,Effective_Score_Deuce_Rally,Frequency,28,Effective_Score_Deuce | Effective_Score_Deuce_Rally,M004
Effective_Score_Deuce,Effective_Score_Deuce_Return,Frequency,18,Effective_Score_Deuce | Effective_Score_Deuce_Return,M004
Effective_Score_Deuce,Effective_Score_Deuce_Serve,Frequency,25,Effective_Score_Deuce | Effective_Score_Deuce_Serve,M004
Effective_Score_Adv,Effective_Score_Adv_Rally,Frequency,44,Effective_Score_Adv | Effective_Score_Adv_Rally,M004
Effective_Score_Adv,Effective_Score_Adv_Return,Frequency,15,Effective_Score_Adv | Effective_Score_Adv_Return,M004
Effective_Score_Adv,Effective_Score_Adv_Serve,Frequency,21,Effective_Score_Adv | Effective_Score_Adv_Serve,M004
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Rally,Frequency,22,Effective_Score_Deuce_First | Effective_Score_Deuce_First_Rally,M004
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Return,Frequency,15,Effective_Score_Deuce_First | Effective_Score_Deuce_First_Return,M004
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Serve,Frequency,15,Effective_Score_Deuce_First | Effective_Score_Deuce_First_Serve,M004
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Rally,Frequency,6,Effective_Score_Deuce_Second | Effective_Score_Deuce_Second_Rally,M004
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Return,Frequency,3,Effective_Score_Deuce_Second | Effective_Score_Deuce_Second_Return,M004
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Serve,Frequency,10,Effective_Score_Deuce_Second | Effective_Score_Deuce_Second_Serve,M004
Effective_Score_Adv_First,Effective_Score_Adv_First_Rally,Frequency,41,Effective_Score_Adv_First | Effective_Score_Adv_First_Rally,M004
Effective_Score_Adv_First,Effective_Score_Adv_First_Return,Frequency,14,Effective_Score_Adv_First | Effective_Score_Adv_First_Return,M004
Effective_Score_Adv_First,Effective_Score_Adv_First_Serve,Frequency,15,Effective_Score_Adv_First | Effective_Score_Adv_First_Serve,M004
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Rally,Frequency,3,Effective_Score_Adv_Second | Effective_Score_Adv_Second_Rally,M004
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Return,Frequency,1,Effective_Score_Adv_Second | Effective_Score_Adv_Second_Return,M004
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Serve,Frequency,6,Effective_Score_Adv_Second | Effective_Score_Adv_Second_Serve,M004
Shots_By_OutComeGen,Rally_Lost,Frequency,21,Shots_By_OutComeGen | Rally_Lost,M004
Shots_By_OutComeGen,Rally_Rally,Frequency,39,Shots_By_OutComeGen | Rally_Rally,M004
Shots_By_OutComeGen,Rally_Won,Frequency,12,Shots_By_OutComeGen | Rally_Won,M004
Shots_By_OutComeGen,Return_Lost,Frequency,19,Shots_By_OutComeGen | Return_Lost,M004
Shots_By_OutComeGen,Return_Rally,Frequency,9,Shots_By_OutComeGen | Return_Rally,M004
Shots_By_OutComeGen,Return_Won,Frequency,5,Shots_By_OutComeGen | Return_Won,M004
Shots_By_OutComeGen,Serve_Lost,Frequency,15,Shots_By_OutComeGen | Serve_Lost,M004
Shots_By_OutComeGen,Serve_Rally,Frequency,24,Shots_By_OutComeGen | Serve_Rally,M004
Shots_By_OutComeGen,Serve_Won,Frequency,7,Shots_By_OutComeGen | Serve_Won,M004
Shots_By_OutComeGen_First,Rally_Lost,Frequency,18,Shots_By_OutComeGen_First | Rally_Lost,M004
Shots_By_OutComeGen_First,Rally_Rally,Frequency,36,Shots_By_OutComeGen_First | Rally_Rally,M004
Shots_By_OutComeGen_First,Rally_Won,Frequency,9,Shots_By_OutComeGen_First | Rally_Won,M004
Shots_By_OutComeGen_First,Return_Lost,Frequency,16,Shots_By_OutComeGen_First | Return_Lost,M004
Shots_By_OutComeGen_First,Return_Rally,Frequency,9,Shots_By_OutComeGen_First | Return_Rally,M004
