Label_0,Label,Frequency,Effective_1
TotalPointsWonOrLost_Freq,Lost,51,
TotalPointsWonOrLost_Freq,Won,24,
TotalPointsWonOrLost_Freq,Lost_thru_Mistake,51,
TotalPointsWonOrLost_Freq,Won_thru_Winner,24,
Effective_Score,Effective_Score_Rally,38,-122.0
Effective_Score,Effective_Score_Return,36,-59.0
Effective_Score,Effective_Score_Serve,39,15.0
Effective_Score_First,Effective_Score_First_Rally,29,-65.0
Effective_Score_First,Effective_Score_First_Return,24,-95.0
Effective_Score_First,Effective_Score_First_Serve,26,35.0
Effective_Score_Second,Effective_Score_Second_Rally,9,-57.0
Effective_Score_Second,Effective_Score_Second_Return,12,36.0
Effective_Score_Second,Effective_Score_Second_Serve,13,-20.0
Effective_Score_Deuce,Effective_Score_Deuce_Rally,22,-50.0
Effective_Score_Deuce,Effective_Score_Deuce_Return,19,6.0
Effective_Score_Deuce,Effective_Score_Deuce_Serve,20,20.0
Effective_Score_Adv,Effective_Score_Adv_Rally,16,-72.0
Effective_Score_Adv,Effective_Score_Adv_Return,17,-65.0
Effective_Score_Adv,Effective_Score_Adv_Serve,19,-5.0
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Rally,18,-21.0
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Return,12,-35.0
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Serve,15,20.0
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Rally,4,-29.0
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Return,7,41.0
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Serve,5,0.0
Effective_Score_Adv_First,Effective_Score_Adv_First_Rally,11,-44.0
Effective_Score_Adv_First,Effective_Score_Adv_First_Return,12,-60.0
Effective_Score_Adv_First,Effective_Score_Adv_First_Serve,11,15.0
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Rally,5,-28.0
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Return,5,-5.0
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Serve,8,-20.0
Shots_By_OutComeGen,Rally_Lost,17,-170.0
Shots_By_OutComeGen,Rally_Rally,18,18.0
Shots_By_OutComeGen,Rally_Won,3,30.0
Shots_By_OutComeGen,Return_Lost,21,-210.0
Shots_By_OutComeGen,Return_Rally,4,16.0
Shots_By_OutComeGen,Return_Won,11,135.0
Shots_By_OutComeGen,Serve_Lost,13,-150.0
Shots_By_OutComeGen,Serve_Rally,16,25.0
Shots_By_OutComeGen,Serve_Won,10,140.0
Shots_By_OutComeGen_First,Rally_Lost,11,-110.0
Shots_By_OutComeGen_First,Rally_Rally,15,15.0
