Label_0,Label,Frequency,Effective_1
TotalPointsWonOrLost_Freq,Lost,55,
TotalPointsWonOrLost_Freq,Won,24,
TotalPointsWonOrLost_Freq,Lost_thru_Mistake,55,
TotalPointsWonOrLost_Freq,Won_thru_Winner,24,
Effective_Score,Effective_Score_Rally,72,-51
Effective_Score,Effective_Score_Return,33,-95
Effective_Score,Effective_Score_Serve,46,-90
Effective_Score_First,Effective_Score_First_Rally,63,-54
Effective_Score_First,Effective_Score_First_Return,29,-75
Effective_Score_First,Effective_Score_First_Serve,30,0
Effective_Score_Second,Effective_Score_Second_Rally,9,3
Effective_Score_Second,Effective_Score_Second_Return,4,-20
Effective_Score_Second,Effective_Score_Second_Serve,16,-90
Effective_Score_Deuce,Effective_Score_Deuce_Rally,28,-84
Effective_Score_Deuce,Effective_Score_Deuce_Return,18,-90
Effective_Score_Deuce,Effective_Score_Deuce_Serve,25,-80
Effective_Score_Adv,Effective_Score_Adv_Rally,44,33
Effective_Score_Adv,Effective_Score_Adv_Return,15,-5
Effective_Score_Adv,Effective_Score_Adv_Serve,21,-10
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Rally,22,-57
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Return,15,-80
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Serve,15,-20
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Rally,6,-27
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Return,3,-10
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Serve,10,-60
Effective_Score_Adv_First,Effective_Score_Adv_First_Rally,41,3
Effective_Score_Adv_First,Effective_Score_Adv_First_Return,14,5
Effective_Score_Adv_First,Effective_Score_Adv_First_Serve,15,20
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Rally,3,30
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Return,1,-10
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Serve,6,-30
Shots_By_OutComeGen,Rally_Lost,21,-210
Shots_By_OutComeGen,Rally_Rally,39,39
Shots_By_OutComeGen,Rally_Won,12,120
Shots_By_OutComeGen,Return_Lost,19,-190
Shots_By_OutComeGen,Return_Rally,9,45
Shots_By_OutComeGen,Return_Won,5,50
Shots_By_OutComeGen,Serve_Lost,15,-190
Shots_By_OutComeGen,Serve_Rally,24,30
Shots_By_OutComeGen,Serve_Won,7,70
Shots_By_OutComeGen_First,Rally_Lost,18,-180
Shots_By_OutComeGen_First,Rally_Rally,36,36
Shots_By_OutComeGen_First,Rally_Won,9,90
Shots_By_OutComeGen_First,Return_Lost,16,-160
Shots_By_OutComeGen_First,Return_Rally,9,45
Shots_By_OutComeGen_First,Return_Won,4,40
Shots_By_OutComeGen_First,Serve_Lost,6,-60
Shots_By_OutComeGen_First,Serve_Rally,18,0
Shots_By_OutComeGen_First,Serve_Won,6,60
Shots_By_OutComeGen_Second,Rally_Lost,3,-30
Shots_By_OutComeGen_Second,Rally_Rally,3,3
Shots_By_OutComeGen_Second,Rally_Won,3,30
Shots_By_OutComeGen_Second,Return_Lost,3,-30
Shots_By_OutComeGen_Second,Return_Won,1,10
Shots_By_OutComeGen_Second,Serve_Lost,9,-130
Shots_By_OutComeGen_Second,Serve_Rally,6,30
Shots_By_OutComeGen_Second,Serve_Won,1,10
Shots_By_OutComeGen_Deuce,Rally_Lost,11,-110
Shots_By_OutComeGen_Deuce,Rally_Rally,16,16
Shots_By_OutComeGen_Deuce,Rally_Won,1,10
Shots_By_OutComeGen_Deuce,Return_Lost,13,-130
Shots_By_OutComeGen_Deuce,Return_Rally,2,10
Shots_By_OutComeGen_Deuce,Return_Won,3,30
Shots_By_OutComeGen_Deuce,Serve_Lost,11,-135
Shots_By_OutComeGen_Deuce,Serve_Rally,10,15
Shots_By_OutComeGen_Deuce,Serve_Won,4,40
Shots_By_OutComeGen_Adv,Rally_Lost,10,-100
Shots_By_OutComeGen_Adv,Rally_Rally,23,23
Shots_By_OutComeGen_Adv,Rally_Won,11,110
Shots_By_OutComeGen_Adv,Return_Lost,6,-60
Shots_By_OutComeGen_Adv,Return_Rally,7,35
Shots_By_OutComeGen_Adv,Return_Won,2,20
Shots_By_OutComeGen_Adv,Serve_Lost,4,-55
Shots_By_OutComeGen_Adv,Serve_Rally,14,15
Shots_By_OutComeGen_Adv,Serve_Won,3,30
